Sample	Taxonomy	Count
WWRhodo	k:Eukaryota(1.00),p:Cryptophyceae(0.76),c:Cryptomonadales(0.76),o:Rhodomonas(0.76),f:Rhodomonas marina(0.68)	7
WWRhodo	k:Eukaryota(1.00),p:SAR(1.00),c:Stramenopiles(1.00),o:Ochrophyta(1.00),f:Chrysophyceae(1.00),g:Chromulinales(1.00),s:uncultured(1.00)	7
WWRhodo	k:Eukaryota(1.00),p:Archaeplastida(0.73),c:Chloroplastida(0.73),o:Charophyta(0.73),f:Phragmoplastophyta(0.73),g:Streptophyta(0.73),s:Embryophyta(0.73)	3
WWRhodo	k:Eukaryota(1.00),p:Archaeplastida(0.77),c:Chloroplastida(0.77),o:Charophyta(0.77),f:Phragmoplastophyta(0.77),g:Streptophyta(0.77),s:Embryophyta(0.77)	3
WWRhodo	k:Eukaryota(1.00),p:Archaeplastida(0.99),c:Chloroplastida(0.99),o:Charophyta(0.99),f:Phragmoplastophyta(0.99),g:Streptophyta(0.98),s:Embryophyta(0.98)	3
WWRhodo	k:Eukaryota(1.00),p:Amorphea(1.00),c:Obazoa(1.00),o:Opisthokonta(1.00),f:Nucletmycea(1.00),g:Fungi(1.00),s:Dikarya(1.00)	2
WWRhodo	k:Eukaryota(1.00),p:Cryptophyceae(0.72),c:Cryptomonadales(0.71),o:Geminigera(0.05),f:uncultured freshwater eukaryote(0.08)	2
WWRhodo	k:Eukaryota(1.00),p:Cryptophyceae(0.98),c:Cryptomonadales(0.98),o:Rhodomonas(0.98),f:Rhodomonas sp. CCMP743(0.83)	2
WWRhodo	k:Eukaryota(1.00),p:Archaeplastida(0.81),c:Chloroplastida(0.81),o:Charophyta(0.78),f:Phragmoplastophyta(0.78),g:Streptophyta(0.78),s:Embryophyta(0.78)	1
WWRhodo	k:Eukaryota(1.00),p:Archaeplastida(0.99),c:Chloroplastida(0.99),o:Charophyta(0.99),f:Phragmoplastophyta(0.99),g:Streptophyta(0.99),s:Embryophyta(0.99)	1
WWRhodo	k:Eukaryota(1.00),p:Cryptophyceae(0.86),c:Cryptomonadales(0.86),o:Rhodomonas(0.86),f:Rhodomonas sp. CCMP743(0.86)	1
WWRhodo	k:Eukaryota(1.00),p:Cryptophyceae(0.98),c:Cryptomonadales(0.96),o:Rhodomonas(0.96),f:Rhodomonas sp. CCMP743(0.96)	1
WWRhodo	k:Eukaryota(1.00),p:Cryptophyceae(1.00),c:Cryptomonadales(1.00),o:Teleaulax(0.32),f:metagenome(0.32)	1
WWRhodo	k:Eukaryota(1.00),p:Cryptophyceae(1.00),c:Cryptomonadales(1.00),o:Teleaulax(1.00),f:metagenome(1.00)	1
WWRhodo	k:Eukaryota(1.00),p:SAR(0.79),c:Rhizaria(0.22),o:Retaria(0.09),f:Acantharia(0.04),g:Acantharea Group II(0.04),s:uncultured eukaryote(0.16)	1
WWRhodo	k:Eukaryota(1.00),p:SAR(0.82),c:Alveolata(0.82),o:Ciliophora(0.82),f:Intramacronucleata(0.82),g:Conthreep(0.82),s:Oligohymenophorea(0.82)	1
WWRhodoMagn	k:Eukaryota(1.00),p:Cryptophyceae(1.00),c:Cryptomonadales(1.00),o:Rhodomonas(1.00),f:Rhodomonas sp. CCMP743(1.00)	8813
WWRhodoMagn	k:Eukaryota(1.00),p:Amorphea(1.00),c:Obazoa(1.00),o:Opisthokonta(1.00),f:Nucletmycea(1.00),g:Fungi(1.00),s:Dikarya(1.00)	16
WWRhodoMagn	k:Eukaryota(1.00),p:Discoba(1.00),c:Jakobida(1.00),o:uncultured dinoflagellate(1.00)	12
WWRhodoMagn	k:Eukaryota(1.00),p:SAR(1.00),c:Alveolata(1.00),o:Ciliophora(1.00),f:Intramacronucleata(1.00),g:Conthreep(1.00),s:Oligohymenophorea(1.00)	11
WWRhodoMagn	k:Eukaryota(1.00),p:Amorphea(0.99),c:Obazoa(0.99),o:Opisthokonta(0.99),f:Nucletmycea(0.99),g:Fungi(0.99),s:Dikarya(0.99)	5
WWRhodoMagn	k:Eukaryota(1.00),p:Archaeplastida(1.00),c:Chloroplastida(1.00),o:Charophyta(1.00),f:Phragmoplastophyta(1.00),g:Streptophyta(1.00),s:Embryophyta(1.00)	5
WWRhodoMagn	k:Eukaryota(1.00),p:Amorphea(0.96),c:Obazoa(0.96),o:Opisthokonta(0.96),f:Nucletmycea(0.95),g:Fungi(0.95),s:Dikarya(0.95)	4
